,target,alt_tar_lst,phon,sem
0,veteran,veteran,0.0,0.0
1,veteran,veterinarian,5.0,0.6008687125946914
2,veteran,rhinestone,8.0,0.7811694496222137
3,veteran,veterans,1.0,0.24351312670404102
4,veterinarian,veterinarian,0.0,0.0
5,veterinarian,veteran,5.0,0.6008687125946914
6,veterinarian,rhinestone,10.0,0.6921618168472858
7,veterinarian,veterans,6.0,0.6153469957346358
8,rhinestone,rhinestone,0.0,0.0
9,rhinestone,veteran,8.0,0.7811694496222137
10,rhinestone,veterinarian,10.0,0.6921618168472858
11,rhinestone,veterans,8.0,0.7727186019242714
12,veterans,veterans,0.0,0.0
13,veterans,veteran,1.0,0.24351312670404102
14,veterans,veterinarian,6.0,0.6153469957346358
15,veterans,rhinestone,8.0,0.7727186019242714
16,veterinarian,veterinarian,0.0,0.0
17,veterinarian,veteran,5.0,0.6008687125946914
18,veterinarian,carton,9.0,0.7315113321897722
19,veterinarian,veterinarians,1.0,0.21278548429105593
20,veteran,veteran,0.0,0.0
21,veteran,veterinarian,5.0,0.6008687125946914
22,veteran,carton,5.0,0.8121914389583317
23,veteran,veterinarians,6.0,0.6533455504593491
24,carton,carton,0.0,5.551115123125783e-17
25,carton,veterinarian,9.0,0.7315113321897722
26,carton,veteran,5.0,0.8121914389583317
27,carton,veterinarians,10.0,0.7731572923407515
28,veterinarians,veterinarians,0.0,1.6653345369377348e-16
29,veterinarians,veterinarian,1.0,0.21278548429105593
30,veterinarians,veteran,6.0,0.6533455504593491
31,veterinarians,carton,10.0,0.7731572923407515
32,alteration,alteration,0.0,1.1102230246251565e-16
33,alteration,altercation,1.0,0.5060556454449122
34,alteration,inferno,7.0,0.7701184002578048
35,alteration,alterations,1.0,0.18618679874451238
36,altercation,altercation,0.0,0.0
37,altercation,alteration,1.0,0.5060556454449122
38,altercation,inferno,8.0,0.7251243812205508
39,altercation,alterations,2.0,0.5692416673241307
40,inferno,inferno,0.0,0.0
41,inferno,alteration,7.0,0.7701184002578048
42,inferno,altercation,8.0,0.7251243812205508
43,inferno,alterations,8.0,0.7592879432856858
44,alterations,alterations,0.0,0.0
45,alterations,alteration,1.0,0.18618679874451238
46,alterations,altercation,2.0,0.5692416673241307
47,alterations,inferno,8.0,0.7592879432856858
48,altercation,altercation,0.0,0.0
49,altercation,alteration,1.0,0.5060556454449122
50,altercation,muskrat,8.0,0.743975711426434
51,altercation,altercations,1.0,0.5684096312073077
52,alteration,alteration,0.0,1.1102230246251565e-16
53,alteration,altercation,1.0,0.5060556454449122
54,alteration,muskrat,7.0,0.7799859013424788
55,alteration,altercations,2.0,0.4251590571851134
56,muskrat,muskrat,0.0,0.0
57,muskrat,altercation,8.0,0.743975711426434
58,muskrat,alteration,7.0,0.7799859013424788
59,muskrat,altercations,9.0,0.6875593407699178
60,altercations,altercations,0.0,3.700743415417188e-17
